Source Snippet,Parameter Name,Description,Type,Constraints,Keywords,Confidence Score,Confidence Level,Model Agreement
privileged_19_3_1.txt,cache_block_size,"Size in bytes of a cache block (cache line), which is the smallest unit of data transferred between cache and memory.",implementation-specific,"['Cache blocks represent a contiguous, naturally aligned power-of-two (or NAPOT) range of memory locations', 'The size of a cache block shall be uniform throughout the system']","uniform, size of a cache block, implementation-specific, shall, implementation-specific, cache block, size, NAPOT, shall be, shall be uniform, shall",1.00,high,10/10 models
privileged_19_3_1.txt,cache_capacity,The total amount of data (in bytes) that a cache can store.,implementation-specific,None explicitly mentioned (only that it is implementation-specific).,"implementation-specific, capacity of a cache, capacity, cache",0.70,high,7/10 models
privileged_19_3_1.txt,cache_organization,"The structural layout of a cache (e.g., number of sets, associativity, ways, replacement policy).",implementation-specific,None explicitly mentioned (only that it is implementation-specific).,"implementation-specific, organization, cache, organization of a cache",0.70,high,7/10 models
privileged_19_3_1.txt,cache_capacity_and_organization,"Implementation-defined capacity and internal organization of each cache, including how cache blocks are arranged and managed.",implementation-specific,None beyond being discoverable via the execution environment.,"implementation-specific, capacity, organization, discover",0.20,low,2/10 models
privileged_19_3_1.txt,cache_capacity_organization,The capacity and organization of a cache.,implementation-specific,None,implementation-specific,0.10,low,1/10 models
privileged_2_1.txt,csr_accessibility,Encoding of read and write accessibility of CSRs based on privilege level,implementation-specific,"['12-bit encoding space for up to 4,096 CSRs', 'Top 4 bits (csr[11:8]) encode read/write accessibility and lowest privilege level', 'Top 2 bits (csr[11:10]) indicate read/write (00, 01, 10) or read-only (11) access', 'Next 2 bits (csr[9:8]) encode the lowest privilege level that can access the CSR']","privilege level, according to, encode, conventional, by convention, accessibility",0.20,low,2/10 models
privileged_2_1.txt,csr_access_mapping_convention,Whether to follow the conventional encoding of CSR address bits csr[11:8] for read/write accessibility and minimal privilege level,optional,"If followed, csr[11:10] = 00, 01, or 10 indicates read/write; =11 indicates read-only; csr[9:8] encodes lowest privilege level allowed to access CSR.",By convention,0.10,low,1/10 models
privileged_2_1.txt,csr_accessibility_encoding,Controls whether and how CSR read/write accessibility and minimum privilege level are encoded in bits [11:8] of the CSR address.,optional,"The 12-bit CSR address space (csr[11:0]) is fixed by the ISA, but the encoding of accessibility in bits [11:8] is only conventional and not mandated. Implementations may use alternative encodings or omit this convention.","by convention, according to, as shown in Table 1",0.10,low,1/10 models
privileged_2_1.txt,csr_address_encoding,"Defines the encoding scheme for CSR addresses, specifically the bits used for accessibility.",implementation-specific,"A 12-bit encoding space is reserved for CSRs, with specific bits designated for accessibility.","csr, bits, address, encoding",0.10,low,1/10 models
privileged_2_1.txt,implemented_csr_count,The actual number of Control and Status Registers implemented within the 12-bit encoding space.,implementation-specific,"Maximum of 4,096 registers.","sets aside, up to",0.10,low,1/10 models
privileged_2_1.txt,csr_address_accessibility_convention,Adherence to the standard mapping where csr[11:10] determines R/W permissions and csr[9:8] determines the minimum privilege level.,optional,Top two bits (11) must indicate read-only to follow convention.,"By convention, Conventional",0.10,low,1/10 models
privileged_2_1.txt,csr_minimum_privilege_level_mapping,The enforcement of access control based on the encoding of bits csr[9:8] relative to the current execution privilege mode.,implementation-specific,Must encode the lowest privilege level that can access the CSR according to Table 1.,"encode, convention",0.10,low,1/10 models
privileged_2_1.txt,csr_address_mapping_convention,Describes the conventional use of the upper 4 bits of the CSR address for encoding read/write accessibility and privilege level.,optional,"['Upper 4 bits (csr[11:8]) are used for encoding.', 'Top two bits (csr[11:10]) indicate read/write (00, 01, 10) or read-only (11).', 'Next two bits (csr[9:8]) encode the lowest privilege level for access.']","by convention, convention",0.10,low,1/10 models
privileged_2_1.txt,csr_address_mapping,The mapping of CSR addresses to read and write accessibility,implementation-specific,The upper 4 bits of the CSR address (csr[11:8]) are used to encode the read and write accessibility,convention,0.10,low,1/10 models
privileged_2_1.txt,csr_read_write_accessibility,The encoding of read and write accessibility of CSRs,implementation-specific,"The top two bits (csr[11:10]) indicate whether the register is read/write (00,01, or 10) or read-only (11)",convention,0.10,low,1/10 models
privileged_2_1.txt,csr_privilege_level_accessibility,The encoding of the lowest privilege level that can access the CSR,implementation-specific,The next two bits (csr[9:8]) encode the lowest privilege level that can access the CSR,convention,0.10,low,1/10 models
