Source Snippet,Parameter Name,Description,Type,Constraints,Keywords,Confidence Score,Confidence Level,Model Agreement
privileged_19_3_1.txt,cache_block_size,"The size of a cache block, representing a contiguous, naturally aligned NAPOT range of memory",implementation-specific,"Must be uniform throughout the system in the initial set of CMO extensions; represents a contiguous, naturally aligned power-of-two (NAPOT) range","uniform, implementation-specific, cache block, size, NAPOT, power-of-two, shall",1.00,high,10/10 models
privileged_19_3_1.txt,cache_capacity,The total storage size (in bytes or blocks) of the cache,implementation-specific,"None explicitly stated (only ""implementation-specific"")",implementation-specific,0.90,high,9/10 models
privileged_19_3_1.txt,cache_organization,"The internal structure and arrangement of the cache (e.g., associativity, ways, sets)",implementation-specific,Implementation-defined; may vary across implementations,implementation-specific,0.90,high,9/10 models
privileged_19_3_1.txt,cache_discovery_mechanism,The method provided by the execution environment for software to identify cache and block information,configurable,Execution environment must provide such a means; not specified further,"should, provides, discover",0.20,low,2/10 models
privileged_19_3_1.txt,cache_capacity_and_organization,"Total capacity and internal organization (e.g., associativity, number of sets) of a cache",implementation-specific,None explicitly specified beyond being implementation-specific,implementation-specific,0.10,low,1/10 models
privileged_19_3_1.txt,cache_block_uniformity,Whether the cache block size is uniform throughout the system,configurable,"In the initial set of CMO extensions, the cache block size shall be uniform",shall,0.10,low,1/10 models
privileged_19_3_1.txt,cache_block_alignment,"Whether cache blocks are naturally aligned (e.g., byte-addressable, word-aligned, etc.)",implementation-specific,"['Described as ""naturally aligned"" in the text (implied, not explicitly optional)', 'In initial CMO extensions, alignment is fixed by block size (NAPOT)']","naturally aligned, contiguous, memory locations",0.10,low,1/10 models
privileged_19_3_1.txt,cache_block_identification_method,"How a cache block is identified (e.g., via physical address, tag, or other means)",implementation-specific,"None explicitly stated (only ""implementation-specific"")","implementation-specific, identified, physical addresses",0.10,low,1/10 models
privileged_2_1.txt,csr_address_space_size,Size of the CSR address space in bits,implementation-specific,"Fixed at 12 bits (csr[11:0]), supporting up to 4096 CSRs",sets aside,0.20,low,2/10 models
privileged_2_1.txt,csr_privilege_level_encoding,Encoding of the lowest privilege level that can access the CSR,implementation-specific,Next two bits of CSR address (csr[9:8]),"implementation-specific, privilege level, by convention",0.20,low,2/10 models
privileged_2_1.txt,csr_accessibility_encoding_convention,Convention for encoding CSR read/write accessibility and minimum privilege level in CSR address bits,conventional,Uses upper 4 bits (csr[11:8]) of the 12-bit CSR address; bits csr[11:10] encode read/write vs read-only; bits csr[9:8] encode minimum accessible privilege level.,"according to, convention",0.10,low,1/10 models
privileged_2_1.txt,csr_address_space_max_count,Maximum number of CSRs that can be encoded in the 12‑bit CSR address space,implementation-defined,Up to 4096 CSRs,implementation-defined,0.10,low,1/10 models
privileged_2_1.txt,csr_read_write_access_encoding,Encoding of read/write accessibility using top two CSR address bits (csr[11:10]),implementation-specific,"Values 00, 01, or 10 indicate read/write; 11 indicates read-only",,0.10,low,1/10 models
privileged_2_1.txt,csr_min_privilege_level_encoding,Encoding of the lowest privilege level that can access a CSR using bits csr[9:8],implementation-specific,Encodes minimum privilege level required for access,,0.10,low,1/10 models
privileged_2_1.txt,csr_accessibility_encoding,Encoding of read and write accessibility of CSRs based on privilege level,implementation-specific,Uses upper 4 bits of CSR address; top two bits indicate read/write or read-only,"implementation-specific, privilege level, accessibility",0.10,low,1/10 models
privileged_2_1.txt,csr_address_encoding,Encoding of read/write accessibility of CSRs based on privilege level,convention,"- 12-bit encoding space (csr[11:0]) for up to 4,096 CSRs
- csr[11:8] encode read/write accessibility based on privilege level
- csr[11:10] indicate read/write (00,01,10) or read-only (11) access
- csr[9:8] encode the lowest privilege level that can access the CSR
","conventional, may",0.10,low,1/10 models
privileged_2_1.txt,csr_address_mapping_convention,Adherence to the conventional 12-bit encoding space and privilege-based accessibility mapping for CSRs,implementation-defined,Uses csr[11:8] for accessibility and privilege level encoding; csr[11:10] for R/W vs RO; csr[9:8] for minimum privilege level,"according to, convention",0.10,low,1/10 models
privileged_2_1.txt,csr_implementation_count,The actual number of Control and Status Registers implemented within the defined encoding space,optional,"Maximum of 4,096 CSRs (12-bit encoding space)","sets aside, up to",0.10,low,1/10 models
privileged_2_1.txt,csr_encoding_space_size,The size of the encoding space reserved for CSRs.,standard-defined,"12-bit encoding space (up to 4,096 CSRs)","sets aside, standard",0.10,low,1/10 models
privileged_2_1.txt,csr_address_upper_bits_usage,How the upper 4 bits of the CSR address are used to encode read and write accessibility according to privilege level.,convention,csr[11:8] used for accessibility encoding,"used to encode, convention",0.10,low,1/10 models
privileged_2_1.txt,csr_read_write_indicator_bits,The bits within the CSR address that indicate whether a register is read/write or read-only.,convention,"csr[11:10] indicate read/write (00,01,10) or read-only (11)","indicate, convention",0.10,low,1/10 models
privileged_2_1.txt,csr_lowest_privilege_level_bits,The bits within the CSR address that encode the lowest privilege level allowed to access the CSR.,convention,csr[9:8] encode lowest privilege level,"encode, convention",0.10,low,1/10 models
privileged_2_1.txt,csr_read_write_accessibility_encoding,Encoding of CSR read and write accessibility,implementation-defined,Upper 4 bits of CSR address (csr[11:8]),by convention,0.10,low,1/10 models
privileged_2_1.txt,csr_read_only_accessibility_encoding,Encoding of CSR read-only accessibility,implementation-defined,Top two bits of CSR address (csr[11:10]) equal to 11,by convention,0.10,low,1/10 models
privileged_2_1.txt,csr_read_write_accessibility_options,Options for CSR read and write accessibility,implementation-defined,"00, 01, or 10",by convention,0.10,low,1/10 models
