Source Snippet,Parameter Name,Description,Type,Constraints,Keywords,Confidence Score,Confidence Level,Model Agreement
privileged_19_3_1.txt,cache_block_size,"Size of an individual cache block, representing a contiguous, naturally aligned power-of-two (or NAPOT) range of memory locations",implementation-specific,"['Must be a contiguous, naturally aligned power-of-two (Napot) range of memory locations.', 'Shall be uniform throughout the system (for the initial set of CMO extensions).']","uniform, shall be uniform, implementation-specific, NAPOT, implementation-defined, power-of-two, shall",0.90,high,9/10 models
privileged_19_3_1.txt,cache_capacity,Total capacity of a cache that stores data copies,implementation-specific,Implementation determines the capacity; no fixed value mandated,"implementation-specific, capacity",0.80,high,8/10 models
privileged_19_3_1.txt,cache_organization,"Internal structure or arrangement of a cache (e.g., associativity, ways, sets)",implementation-specific,Implementation defines the organization; no uniform requirements,"implementation-specific, organization, organization of a cache",0.80,high,8/10 models
privileged_19_3_1.txt,cache_block_alignment,Alignment requirement for cache block memory locations,implementation-specific,Must be naturally aligned to a power‑of‑two or NAPOT boundary,"power-of-two, NAPOT, alignment",0.10,low,1/10 models
privileged_19_3_1.txt,cache_capacity_and_organization,"Total capacity and structural organization of a cache (e.g., levels, associativity, number of sets)",implementation-specific,None explicitly stated beyond being implementation-specific,implementation-specific,0.10,low,1/10 models
privileged_19_3_1.txt,uniform_cache_block_size,Indicates that the size of a cache block shall be uniform throughout the system,configurable,Must be uniform across the system,shall,0.10,low,1/10 models
privileged_19_3_1.txt,cache_block_uniformity,Whether cache block size is uniform throughout the system,mandatory,Cache block size must be uniform,shall,0.10,low,1/10 models
privileged_19_3_1.txt,discovery_mechanism,The method provided by the execution environment for software to identify cache characteristics,implementation-specific,Must provide a means to discover information about caches and cache blocks,provides,0.10,low,1/10 models
privileged_2_1.txt,csr_address_space_size,"Defines the total number of bits reserved for CSR addressing. The standard RISC-V ISA allocates 12 bits (csr[11:0]) for up to 4,096 CSRs.
",implementation-defined,"- Standard ISA uses 12-bit encoding (csr[11:0]), allowing up to 4,096 CSRs. - Could be extended or reduced by implementations (though not explicitly stated here).
","sets aside, 096 CSRs, may, up to, up to 4, implementation-defined, 12-bit encoding space",0.20,low,2/10 models
privileged_2_1.txt,csr_minimum_privilege_level,The lowest privilege level required to access a specific CSR address as encoded in bits csr[9:8].,implementation-defined,"Encoded in csr[9:8]; must correspond to standard privilege levels (e.g., U/S/M)","encode, lowest privilege level that can access the CSR, convention",0.20,low,2/10 models
privileged_2_1.txt,csr_accessibility,Read and write accessibility of CSRs based on privilege level,implementation-specific,"['Top 2 bits (csr[11:10]) indicate read/write (00, 01, 10) or read-only (11)', 'Next 2 bits (csr[9:8]) encode the lowest privilege level that can access the CSR']","accessibility, privilege level, conventional, by convention",0.20,low,2/10 models
privileged_2_1.txt,csr_accessibility_encoding_convention,Convention for encoding CSR read/write accessibility and minimum privilege level in CSR address bits,conventional,"Uses upper 4 bits (csr[11:8]) of 12-bit CSR address; bits csr[11:10] indicate read/write (00,01,10) vs read-only (11); bits csr[9:8] encode minimum privilege level for access","by convention, convention",0.10,low,1/10 models
privileged_2_1.txt,csr_accessibility_encoding,"Encoding of CSR read/write accessibility and the lowest privilege level that can access a CSR using bits of the CSR address.
",implementation-defined,"- Uses the upper 4 bits of the CSR address (csr[11:8]). - The top two bits (csr[11:10]) indicate whether the CSR is read/write (00, 01, or 10) or read‑only (11). - The next two bits (csr[9:8]) encode the lowest privilege level that may access the CSR.
","read-only, upper, read/write, bits, encode, by convention",0.10,low,1/10 models
privileged_2_1.txt,csr_read_write_accessibility_encoding,Encoding of CSR read/write accessibility based on privilege level,implementation-defined,"Uses csr[11:8] (4 bits); csr[11:10] indicates R/W vs R/O, csr[9:8] indicates minimum privilege level","indicate, top two bits, according to privilege level, next two bits, by convention",0.10,low,1/10 models
privileged_2_1.txt,csr_read_only_flag,Whether a CSR is read-only or read/write,implementation-defined,"Encoded in csr[11:10]; value 11 means read-only, other values (00, 01, 10) mean read/write","1, or 10), read-only (11), read/write (00",0.10,low,1/10 models
privileged_2_1.txt,csr_address_space,Size of the encoding space for Control and Status Registers (CSRs),standard,"12-bit encoding space, up to 4,096 CSRs","sets aside, standard",0.10,low,1/10 models
privileged_2_1.txt,csr_privilege_levels,Privilege levels that can access CSRs,implementation-specific,Lowest privilege level encoded in csr[9:8],"encode, lowest privilege level",0.10,low,1/10 models
privileged_2_1.txt,csr_address_mapping_convention,Whether the implementation follows the standard convention for CSR read/write accessibility and privilege level encoding based on the upper 4 bits of the CSR address.,implementation-specific,"The standard sets aside a 12-bit encoding space (csr[11:0]) for up to 4,096 CSRs.","according to, convention",0.10,low,1/10 models
privileged_2_1.txt,csr_read_write_accessibility,The accessibility of a CSR (read/write vs read-only) as determined by bits csr[11:10].,implementation-specific,"Bits 11:10 indicate read/write if 00, 01, or 10; read-only if 11.","indicate, convention",0.10,low,1/10 models
privileged_2_1.txt,csr_encoding_space_size,The total number of CSRs that can be encoded.,standard,"12-bit encoding space, up to 4,096 CSRs",sets aside,0.10,low,1/10 models
privileged_2_1.txt,csr_address_upper_bits_usage,How the upper 4 bits of the CSR address are used to encode read/write accessibility and privilege level.,convention,csr[11:8] used for accessibility and privilege level,"By convention, used to encode",0.10,low,1/10 models
privileged_2_1.txt,csr_read_write_indicator_bits,The bits indicating whether a CSR is read/write or read-only.,convention,"csr[11:10] indicate read/write (00, 01, 10) or read-only (11)",indicate,0.10,low,1/10 models
privileged_2_1.txt,csr_lowest_privilege_level_bits,The bits encoding the lowest privilege level that can access a CSR.,convention,csr[9:8] encode lowest privilege level,encode,0.10,low,1/10 models
privileged_2_1.txt,csr_privilege_level_accessibility,"Controls the read/write (R/W) accessibility of Control and Status Registers (CSRs) based on privilege level (encoded in the upper 4 bits of the CSR address). The top two bits (csr[11:10]) determine if the register is read/write (00, 01, or 10) or read-only (11). The next two bits (csr[9:8]) specify the lowest privilege level that can access the CSR.
",implementation-specific (by convention),"- Encoded in csr[11:8] (upper 4 bits of the 12-bit CSR address space). - Must follow the privilege-level encoding scheme described in Table 1. - Read/write accessibility is conventional (not strictly defined by the ISA).
","privilege level, sets aside, may, encoding space, conventional, by convention, accessibility",0.10,low,1/10 models
privileged_2_1.txt,csr_privilege_level_encoding_scheme,"Specifies how privilege levels are encoded in the CSR address space (e.g., whether the encoding follows Table 1 or a custom convention).
",implementation-specific,"- Must align with the standard ISA's convention (Table 1) unless explicitly overridden. - The next two bits (csr[9:8]) encode the lowest privilege level for access. - The top two bits (csr[11:10]) determine read/write vs. read-only.
","by convention, encoding scheme, privilege level, as shown in Table 1",0.10,low,1/10 models
privileged_2_1.txt,csr_read_write_vs_read_only,"Determines whether a CSR is read/write (R/W) or read-only, encoded in the top two bits (csr[11:10]).
",implementation-specific (conventional encoding),"- Read/write: 00 or 01 or 10 (conventional). - Read-only: 11 (conventional). - Could vary if privilege-level encoding is non-standard.
","read-only, read/write, may, 00, 01, 11, 10, by convention",0.10,low,1/10 models
