Source Snippet,Parameter Name,Description,Type,Constraints,Keywords,Confidence Score,Confidence Level,Model Agreement
privileged_19_3_1.txt,cache_capacity,"The total capacity of a cache, derived from the number of blocks and the block size.
",implementation-specific,Must be discoverable by software via the execution environment; no upper/lower bound specified in this excerpt,"implementation-specific, capacity, cache",0.90,high,9/10 models
privileged_19_3_1.txt,cache_organization,"The structural organization of a cache (e.g., direct‑mapped, set‑associative) that determines how blocks are mapped to sets or ways.
",implementation-specific,Not specified; arrangement is left to the implementation and must be discoverable by software via the execution environment.,"implementation-specific, organization, cache",0.90,high,9/10 models
privileged_19_3_1.txt,cache_block_size,"The size of each cache block, which represents a contiguous, naturally aligned power‑of‑two (or NAPOT) range of memory locations.
",implementation-specific,"['Must be a contiguous, naturally aligned power-of-two (NAPOT) range of memory locations.', 'For systems supporting the initial set of CMO extensions, the size must be uniform throughout the system.']","implementation-specific, shall be uniform, uniform, shall be uniform, cache block, implementation-specific, implementation-specific, uniform, power-of-two, NAPOT, contiguous, size, NAPOT, power-of-two, shall",0.90,high,9/10 models
privileged_19_3_1.txt,cache_block_alignment,"The alignment requirement for cache blocks, which must be naturally aligned to a power‑of‑two boundary (or NAPOT).
",implementation-specific,"Must be naturally aligned (address multiple of block size); implied by ""naturally aligned power-of-two range""","may, naturally aligned, naturally aligned power-of-two (or NAPOT), contiguous, NAPOT, power-of-two, aligned",0.40,low,4/10 models
privileged_19_3_1.txt,cache_discovery_mechanism,"Software-accessible method (e.g., CSR, memory-mapped register, HSM, or OS interface) to query cache parameters",implementation-specific,"The execution environment *must* provide such a mechanism (""provides software a means to discover""); but the mechanism itself is not standardized in this spec excerpt","execution environment provides software a means to discover, implementation-specific, provides software a means to discover, provides, discover",0.40,low,4/10 models
privileged_19_3_1.txt,cache_block_range_type,"Whether cache blocks map to contiguous, naturally aligned power-of-two (NAPOT) ranges or other range types",optional,"The spec explicitly allows ""power-of-two (or NAPOT)"" — suggesting NAPOT is one valid option among others (though not elaborated here); no requirement to support both","naturally aligned, power-of-two (or NAPOT)",0.10,low,1/10 models
privileged_19_3_1.txt,cache_block_id_scheme,"How a cache block is identified — specifically, whether identification uses any physical address in the block",implementation-specific,Must allow identification by *any* physical address in the block; no restriction on internal tagging scheme,"corresponding to the underlying memory locations, identified by any of the physical addresses",0.10,low,1/10 models
privileged_19_3_1.txt,cache_block_size_uniformity,Whether the size of a cache block is uniform throughout the system,configurable,Shall be uniform in the initial set of CMO extensions,"uniform, shall",0.10,low,1/10 models
privileged_2_1.txt,csr_address_space_size,The total number of available CSR encodings within the 12-bit encoding space.,implementation-specific,"Maximum of 4,096 CSRs (12-bit encoding space)","sets aside, up to, encoding space, up to",0.20,low,2/10 models
privileged_2_1.txt,csr_privilege_level_access_encoding,"The use of CSR bits [9:8] to encode the lowest privilege level permitted to access a CSR, following the conventional address-mapping scheme.
",implementation-specific,"These two bits must provide an encoding of the lowest privilege level that can access the CSR, as specified by the conventional layout.
","By convention, encode the lowest privilege level",0.20,low,2/10 models
